Title;Type;Premiere;Genre;Watchtime
Brooklyn Nine-Nine;TV Show;2013;Comedy;38100000
Queer Eye;TV Show;2018;Reality-Show;38100000
Schlafende Hunde;TV Show;2023;Crime;38000000
The Big Bang Theory;TV Show;2007;Comedy;38000000
The Good Doctor;TV Show;2017;Drama;38000000
C?mplices de um Resgate;TV Show;2015;Comedy;37800000
The Big Bang Theory;TV Show;2007;Comedy;37800000
The Flash;TV Show;2014;Superhero;37700000
The Good Doctor;TV Show;2017;Drama;37700000
Back to the Outback;Movie;2021;Animation;37600000
Booba;TV Show;2014;Animation;37600000
The Big Bang Theory;TV Show;2007;Comedy;37600000
Vikings;TV Show;2013;History;37600000
As Aventuras de Poliana;TV Show;2018;Drama;37500000
The Big Bang Theory;TV Show;2007;Comedy;37400000
The Rookie;TV Show;2018;Crime;37400000
Fauda;TV Show;2015;Action;37300000
Mr. Sunshine;TV Show;2018;History;37300000
2 Guns;Movie;2013;Action;37100000
Lyle Lyle Crocodile;Movie;2022;Family;37100000
Money Heist;TV Show;2017;Action;37100000
Outlander;TV Show;2014;Drama;37100000
Queens on the Run;Movie;2023;Comedy;37100000
Shameless;TV Show;2011;Comedy;37100000
S.W.A.T.;TV Show;2017;Crime;37000000
The Mitchells vs. The Machines;Movie;2021;Animation;36900000
Peaky Blinders;TV Show;2013;Drama;36900000
Seinfeld;TV Show;1989;Comedy;36900000
PJ Masks;TV Show;2015;Animation;36700000
Amar y Vivir;TV Show;2020;Drama;36600000
Glamorous;TV Show;2023;Drama;36600000
Meekah;TV Show;2022;Animation;36600000
Peaky Blinders;TV Show;2013;Drama;36600000
Troll;Movie;2022;Science Fiction;36600000
Rebelde Way;TV Show;2002;Comedy;36500000
The Big Bang Theory;TV Show;2007;Comedy;36400000
Thicker Than Water;TV Show;2023;Crime;36300000
Chris Rock: Selective Outrage;Movie;2023;Stand-Up;36200000
Madre solo hay dos;TV Show;2021;Comedy;36200000
Grown Ups;Movie;2010;Comedy;36200000
Let Him Go;Movie;2020;Crime;36200000
Outlander;TV Show;2014;Drama;36200000
Against the Ropes;TV Show;2023;Drama;36100000
Ozark;TV Show;2017;Drama;36100000
A Quiet Place Part II;Movie;2021;Horror;36000000
My Little Pony: Friendship Is Magic;TV Show;2010;Animation;36000000
Power Rangers;TV Show;1993;Action;36000000
Hotel Transylvania;Movie;2012;Animation;35900000
The Office;TV Show;2005;Comedy;35900000
Ancient Apocalypse;TV Show;2022;Documentary;35800000
Missing;Movie;2023;Thriller;35800000
Virgin River;TV Show;2019;Drama;35800000
Queen Cleopatra;TV Show;2023;Documentary;35700000
Shameless;TV Show;2011;Comedy;35600000
Record of Ragnarok;TV Show;2021;Animation;35500000
The Boss Baby: Back in the Crib;TV Show;2022;Animation;35500000
Wish Dragon;Movie;2021;Animation;35400000
Unstable;TV Show;2023;Comedy;35300000
Bling Empire: New York;TV Show;2023;Reality-Show;35200000
Grey's Anatomy;TV Show;2005;Drama;35200000
King the Land;TV Show;2023;Comedy;35200000
The Big Bang Theory;TV Show;2007;Comedy;35200000
Hospital Playlist;TV Show;2020;Drama;35000000
Keep Breathing;TV Show;2022;Thriller;35000000
The Big Bang Theory;TV Show;2007;Comedy;35000000
Bad Boys for Life;Movie;2020;Action;34900000
The Big Bang Theory;TV Show;2007;Comedy;34800000
Inventing Anna;TV Show;2022;Drama;34800000
The Cartel;TV Show;2008;Crime;34600000
That Girl Lay Lay;TV Show;2021;Comedy;34600000
The Big Bang Theory;TV Show;2007;Comedy;34600000
The Big Bang Theory;TV Show;2007;Comedy;34600000
Unlock My Boss;TV Show;2022;Crime;34500000
Bullet Train;Movie;2022;Action;34400000
How to Get Away with Murder;TV Show;2014;Crime;34300000
Pressure Cooker;TV Show;2023;Reality-Show;34300000
Cocomelon;TV Show;2020;Animation;34200000
Shameless;TV Show;2011;Comedy;34100000
Vikings;TV Show;2013;History;34100000
Cobra Kai;TV Show;2018;Action;34000000
Grey's Anatomy;TV Show;2005;Drama;34000000
Jurassic World;Movie;2015;Science Fiction;34000000
Riverdale;TV Show;2017;Superhero;34000000
How to Get Rich;TV Show;2023;Documentary;33900000
Prisoners;Movie;2013;Thriller;33900000
Grey's Anatomy;TV Show;2005;Drama;33800000
Forecasting Love and Weather;TV Show;2022;Comedy;33800000
Gabby's Dollhouse;TV Show;2021;Animation;33800000
The Bastard Son & the Devil Himself;TV Show;2022;Fantasy;33800000
Money Heist;TV Show;2017;Action;33700000
Seinfeld;TV Show;1989;Comedy;33700000
The 100;TV Show;2014;Science Fiction;33700000
Teen Titans Go!;TV Show;2013;Animation;33500000
White Noise;Movie;2022;Drama;33500000
